file,doi,gt_study,how,gt_rows,matched,size,lang
AlcaláHerrera_22_JPestSc_ID-1516.pdf,10.1007/s10340-021-01419-7,1516.0,DOI,2.0,True,S(1-5),en
Arlettaz_10_JOrnith_ID-15.pdf,10.1007/s10336-009-0485-0,15.0,DOI,24.0,True,M(6-30),de/non-en
Aviron_07_Effects of Swiss agri-environmental measures on arthropods_AAB.pdf,,2668.0,AUTHOR,8.0,True,M(6-30),de/non-en
Aviron_11_RestorationEcology_ID-18.pdf,10.1111/j.1526-100X.2010.00649.x,18.0,DOI,24.0,True,M(6-30),de/non-en
Bickerton_12_EnvironmentalEntomology_ID-131.pdf,10.1603/EN11249,131.0,DOI,4.0,True,S(1-5),en
Blaauw_12_EcologicalEntomology.pdf,10.1111/j.1365-2311.2012.01376.x,347.0,DOI,30.0,True,M(6-30),en
Blaauw_14_JAE.pdf,10.1111/1365-2664.12257,622.0,DOI,16.0,True,M(6-30),en
Blackmore_14_InsectConsDiv.pdf,10.1111/icad.12071,2627.0,DOI,4.0,True,S(1-5),en
Blümel_24_JAE.pdf,10.1111/1365-2664.14761,1358.0,DOI,12.0,True,M(6-30),de/non-en
Boetzl_22_AEE.pdf,10.1016/j.agee.2022.107890,588.0,DOI,24.0,True,M(6-30),en
Campbell_17_AEE_ID-265.pdf,10.1016/j.agee.2017.01.005,265.0,DOI,2.0,True,S(1-5),en
Campbell_17_Insects_ID-190.pdf,10.3390/insects8030101,190.0,DOI,54.0,True,L(>30),en
Carvell_04_BiolCons.pdf,10.1016/j.biocon.2003.09.012,4.0,DOI,22.0,True,M(6-30),en
Carvell_07_JAE_ID-12.pdf,10.1111/j.1365-2664.2006.01249.x,12.0,DOI,90.0,True,L(>30),en
Dale_20_UrbanEco.pdf,10.1007/s11252-019-00907-0,654.0,DOI,18.0,True,M(6-30),en
Dietzel_24_BiolCons.pdf,10.1016/j.biocon.2024.110480,1091.0,DOI,3.0,True,S(1-5),en
Fischer_16_BiolConserv.pdf,10.1016/j.biocon.2015.12.021,1.0,AUTHOR,1.0,True,S(1-5),en
Frank_04_BullEntRes_ID-630.pdf,10.1079/BER2004301,630.0,DOI,27.0,True,M(6-30),en
Gardiner_20_JOrthopteraRes.pdf,10.3897/jor.29.34452,1726.0,DOI,12.0,True,M(6-30),en
Griffiths-Lee_2022.pdf,10.1007/s10841-022-00387-2,228.0,DOI,28.0,True,M(6-30),en
Haenke_09_JAE.pdf,10.1111/j.1365-2664.2009.01685.x,0.0,DOI,15.0,True,M(6-30),en
Heard_12_Quantifying the effects of Entry Level Stewardship (ELS) on biodiversity at the farm scale- the hillesden experiment_ID-2611.pdf,,2611.0,ID,38.0,True,L(>30),en
Huusela-Veistola_16_AEE.pdf,10.1016/j.agee.2016.01.046,249.0,DOI,72.0,True,L(>30),en
Jacot_07_Improved field margins for a higher biodiversity_AAB.pdf,,2617.0,AUTHOR,32.0,True,L(>30),en
Kati_21_Plants.pdf,10.3390/plants10051003,51.0,DOI,49.0,True,L(>30),en
Madeira_22_Horticulturae_ID-502.pdf,10.3390/horticulturae8111038,502.0,DOI,208.0,True,L(>30),en
Markó_12_mites_BioConScTech_ID-164.pdf,10.1080/09583157.2011.642337,164.0,DOI,30.0,True,M(6-30),de/non-en
Markó_13_aphids_BioConScTech.pdf,10.1080/09583157.2012.743972,429.0,DOI,51.0,True,L(>30),de/non-en
Markó_14_spiders_BioConScTech.pdf,10.1080/09583157.2014.881981,2656.0,DOI,24.0,True,M(6-30),de/non-en
Marshall_07_The effect of arable field margin structure and composition on Orthoptera assemblages_AAB81.pdf,,2618.0,MANUAL,18.0,True,M(6-30),en
Matteson_11_InsectConservDiversity.pdf,10.1111/j.1752-4598.2010.00103.x,561.0,DOI,3.0,True,S(1-5),en
Nilsson_11_JAE.pdf,10.1111/j.1439-0418.2011.01685.x,824.0,AUTHOR,3.0,True,S(1-5),en
Norton_19_EcolApp_ID-2615.pdf,10.1002/eap.1946,2615.0,DOI,120.0,True,L(>30),en
Piko_21_BAE.pdf,10.1016/j.baae.2021.02.005,1028.0,DOI,6.0,True,M(6-30),en
Pollier_2018_AFE.pdf,10.1111/afe.12318,206.0,MANUAL(title),,True,L(>30),en
Poole_2024.pdf,10.1111/icad.12779,2613.0,DOI,2.0,True,S(1-5),en
Potts_07_SAFFIE ch 6_ID-2620.pdf,,2620.0,ID,72.0,True,L(>30),en
Pywell_04_Comparison of new and existing agri-environment scheme option_Defra_ID-2608.pdf,,2608.0,ID,166.0,True,L(>30),en
Pywell_08_Farming for Wildlife Project - Annual Report_NERC Jordans.pdf,,2601.0,AUTHOR,10.0,True,M(6-30),en
Rischen_22_JIC.pdf,10.1007/s10841-021-00363-2,95.0,DOI,14.0,True,M(6-30),en
