file,study,effect,metric,answer,verdict,note
AlcaláHerrera_22_JPestSc_ID-1516.pdf,1516,ES1,Abundance,1,no_ref,no reference months for this study or metric
AlcaláHerrera_22_JPestSc_ID-1516.pdf,1516,ES2,Abundance,1,no_ref,no reference months for this study or metric
Arlettaz_10_JOrnith_ID-15.pdf,15,ES1,Density,>24,wrong,range answer where a point is expected
Arlettaz_10_JOrnith_ID-15.pdf,15,ES2,Density,>24,wrong,range answer where a point is expected
Arlettaz_10_JOrnith_ID-15.pdf,15,ES3,Density,>24,wrong,range answer where a point is expected
Arlettaz_10_JOrnith_ID-15.pdf,15,ES4,Density,>24,wrong,range answer where a point is expected
Arlettaz_10_JOrnith_ID-15.pdf,15,ES5,Density,>24,wrong,range answer where a point is expected
Arlettaz_10_JOrnith_ID-15.pdf,15,ES6,Density,,AI_NA,model withheld
Arlettaz_10_JOrnith_ID-15.pdf,15,ES7,Density,,AI_NA,model withheld
Arlettaz_10_JOrnith_ID-15.pdf,15,ES8,Species Richness,,AI_NA,model withheld
Arlettaz_10_JOrnith_ID-15.pdf,15,ES9,Species Richness,,AI_NA,model withheld
Arlettaz_10_JOrnith_ID-15.pdf,15,ES10,Species Richness,,AI_NA,model withheld
Arlettaz_10_JOrnith_ID-15.pdf,15,ES11,Species Richness,>24,no_ref,no reference months for this study or metric
Arlettaz_10_JOrnith_ID-15.pdf,15,ES12,Species Richness,>24,no_ref,no reference months for this study or metric
Arlettaz_10_JOrnith_ID-15.pdf,15,ES13,Species Richness,>24,no_ref,no reference months for this study or metric
Arlettaz_10_JOrnith_ID-15.pdf,15,ES14,Species Richness,>24,no_ref,no reference months for this study or metric
Arlettaz_10_JOrnith_ID-15.pdf,15,ES15,Visitation Rate,,AI_NA,model withheld
Bickerton_12_EnvironmentalEntomology_ID-131.pdf,131,ES1,Other (percentage of egg masses predated),1,no_ref,no reference months for this study or metric
Bickerton_12_EnvironmentalEntomology_ID-131.pdf,131,ES2,Other (percentage of egg masses predated),1,no_ref,no reference months for this study or metric
Bickerton_12_EnvironmentalEntomology_ID-131.pdf,131,ES3,Other (percentage of egg masses predated),1,no_ref,no reference months for this study or metric
Bickerton_12_EnvironmentalEntomology_ID-131.pdf,131,ES4,Other (percentage of egg masses predated),1,no_ref,no reference months for this study or metric
Bickerton_12_EnvironmentalEntomology_ID-131.pdf,131,ES5,Other (percentage of egg masses predated),1,no_ref,no reference months for this study or metric
